src,dst,weight
Bensonhurst West,Boerum Hill,1
Midtown South,University Heights/Morris Heights,18
Kingsbridge Heights,Van Nest/Morris Park,2
Bayside,Middle Village,1
Two Bridges/Seward Park,Newark Airport,5
Murray Hill-Queens,Elmhurst,3
Marine Park/Mill Basin,Newark Airport,1
Hunts Point,Crotona Park East,3
Howard Beach,Sunnyside,1
Erasmus,Brooklyn Navy Yard,2
Park Slope,Ocean Parkway South,4
Long Island City/Hunters Point,West Concourse,3
Central Harlem North,South Ozone Park,2
Mount Hope,Times Sq/Theatre District,1
West Farms/Bronx River,Midtown North,1
Kingsbridge Heights,Washington Heights South,3
Battery Park City,Briarwood/Jamaica Hills,4
Kingsbridge Heights,Co-Op City,1
Murray Hill,Willets Point,1
Maspeth,East New York,1
Financial District South,Randalls Island,1
Alphabet City,Whitestone,1
Clinton Hill,Manhattan Valley,1
Bedford Park,Schuylerville/Edgewater Park,1
Maspeth,Queens Village,1
Upper West Side South,Stapleton,1
West Chelsea/Hudson Yards,Grymes Hill/Clifton,2
Murray Hill,Cambria Heights,1
South Williamsburg,Kew Gardens,1
Fort Greene,Flushing Meadows-Corona Park,1
Carroll Gardens,Flushing Meadows-Corona Park,1
Upper East Side North,Yorkville East,17953
Gramercy,East Harlem South,1234
Yorkville East,Steinway,91
Midtown Center,Stuyvesant Heights,100
Sunnyside,Clinton East,124
Mott Haven/Port Morris,East Harlem North,184
Lenox Hill West,Clinton West,789
Washington Heights South,Upper West Side South,211
East Harlem South,Manhattan Valley,1623
Lenox Hill East,East Williamsburg,100
Lenox Hill West,Morningside Heights,718
Stuy Town/Peter Cooper Village,Astoria,50
Lincoln Square East,Battery Park,59
Two Bridges/Seward Park,Fort Greene,86
Times Sq/Theatre District,Flatiron,4877
East Village,Jackson Heights,356
Manhattan Valley,Manhattan Valley,3870
Union Sq,Little Italy/NoLiTa,5380
Manhattanville,Kingsbridge Heights,7
LaGuardia Airport,Boerum Hill,1088
LaGuardia Airport,Cypress Hills,78
Kips Bay,Bay Ridge,115
Bloomingdale,Upper East Side South,594
East Chelsea,Chinatown,477
Kips Bay,Financial District North,1276
Garment District,Greenwich Village South,1209
Sunset Park West,East Village,7
Williamsburg (South Side),Financial District North,66
SoHo,World Trade Center,1224
Financial District North,Battery Park,103
Downtown Brooklyn/MetroTech,Union Sq,203
Financial District South,Chinatown,644
Union Sq,Old Astoria,293
Old Astoria,East Village,50
Brooklyn Heights,East Village,158
East Harlem North,West Village,38
Murray Hill,Williamsburg (South Side),522
Brownsville,East New York/Pennsylvania Avenue,6
Alphabet City,Central Park,41
LaGuardia Airport,Maspeth,223
Clinton East,Bushwick North,128
Old Astoria,Flushing,15
Murray Hill,Steinway,429
Jackson Heights,Kips Bay,19
Two Bridges/Seward Park,South Ozone Park,5
Battery Park,Gramercy,29
Upper East Side South,Williamsburg (South Side),182
West Chelsea/Hudson Yards,Baisley Park,4
Union Sq,Inwood Hill Park,4
Financial District South,Brooklyn Heights,412
Penn Station/Madison Sq West,Bensonhurst West,49
Alphabet City,Sunset Park East,22
Williamsburg (North Side),Sunnyside,91
Upper East Side North,Allerton/Pelham Gardens,25
Crown Heights North,Carroll Gardens,14
East Harlem South,Clinton Hill,11
NV,Woodside,35
Bedford,Ridgewood,23
Longwood,Washington Heights North,1
Jackson Heights,Manhattanville,3
Seaport,Gowanus,26
Flatiron,Soundview/Castle Hill,8
Greenwich Village North,Manhattan Beach,3
East Tremont,NA,1
Midtown East,Queensbridge/Ravenswood,53
Central Harlem North,Gramercy,20
Midtown Center,Kensington,50
Little Italy/NoLiTa,Woodside,58
Lincoln Square East,Hillcrest/Pomonok,10
Rockaway Park,Rockaway Park,7
Upper East Side North,Stuyvesant Heights,23
Clinton West,Bedford,38
Manhattan Valley,Midwood,3
Lower East Side,Marine Park/Mill Basin,16
Upper East Side North,DUMBO/Vinegar Hill,84
Midtown East,Bronxdale,3
Lenox Hill East,Middle Village,26
Upper East Side South,University Heights/Morris Heights,18
Little Italy/NoLiTa,Williamsbridge/Olinville,1
Sunset Park West,Two Bridges/Seward Park,3
Laurelton,Glen Oaks,1
Downtown Brooklyn/MetroTech,NA,9
Yorkville East,Claremont/Bathgate,8
Bedford,East New York,12
Springfield Gardens North,Springfield Gardens North,5
Central Harlem North,Downtown Brooklyn/MetroTech,3
DUMBO/Vinegar Hill,Dyker Heights,4
Clinton Hill,Central Park,1
Washington Heights South,Elmhurst,9
South Ozone Park,Long Island City/Queens Plaza,2
Fordham South,Mott Haven/Port Morris,3
Springfield Gardens South,South Ozone Park,5
Lenox Hill West,Midwood,11
Chinatown,Ozone Park,3
Erasmus,Central Harlem North,1
Flushing Meadows-Corona Park,Jamaica,3
Claremont/Bathgate,Murray Hill,1
Mott Haven/Port Morris,Upper East Side South,4
Crown Heights North,Upper West Side South,1
East Harlem South,Prospect Heights,6
East Williamsburg,Bay Terrace/Fort Totten,1
Lincoln Square West,Oakwood,2
Crown Heights South,Meatpacking/West Village West,2
Highbridge,LaGuardia Airport,2
Williamsburg (North Side),Oakland Gardens,1
Bensonhurst West,World Trade Center,1
Brighton Beach,Richmond Hill,1
Lincoln Square East,Heartland Village/Todt Hill,2
Belmont,Central Park,1
Washington Heights South,Bensonhurst East,1
Bloomingdale,Clinton Hill,1
East Concourse/Concourse Village,Crotona Park,1
Red Hook,West Concourse,1
Auburndale,East Flushing,1
East New York,Springfield Gardens South,1
Highbridge Park,Lincoln Square East,1
Lower East Side,Bushwick North,904
Murray Hill,UN/Turtle Bay South,7244
Hudson Sq,Bushwick South,134
Jackson Heights,North Corona,258
Central Park,Lenox Hill East,2240
Greenwich Village South,Clinton West,931
TriBeCa/Civic Center,Two Bridges/Seward Park,1891
Lower East Side,Midtown North,1069
Manhattan Valley,Inwood,144
Gowanus,Astoria,6
East Village,Newark Airport,197
DUMBO/Vinegar Hill,Clinton Hill,69
Flatiron,Upper East Side North,1408
Hamilton Heights,Clinton West,120
Union Sq,West Village,12284
Murray Hill,Pelham Parkway,15
West Village,Battery Park City,4257
Chinatown,Seaport,311
Lincoln Square West,Bronx Park,6
Financial District South,Flatiron,364
Central Harlem North,Penn Station/Madison Sq West,69
Meatpacking/West Village West,Times Sq/Theatre District,2782
Times Sq/Theatre District,Upper East Side North,6760
Manhattan Valley,Alphabet City,84
Penn Station/Madison Sq West,Parkchester,24
Clinton East,Carroll Gardens,170
Upper East Side North,Jamaica,13
East Village,Glendale,31
Hamilton Heights,Garment District,46
Long Island City/Hunters Point,Bushwick North,28
Battery Park,Midtown North,79
Yorkville West,Flatbush/Ditmas Park,28
Greenwich Village South,Downtown Brooklyn/MetroTech,329
Briarwood/Jamaica Hills,Richmond Hill,5
Steinway,Midtown Center,29
Murray Hill,Richmond Hill,24
Long Island City/Queens Plaza,Newark Airport,5
Lenox Hill East,Borough Park,64
Bloomingdale,East Village,86
Long Island City/Hunters Point,Lenox Hill East,78
Bedford,East Village,24
Forest Hills,East Flatbush/Remsen Village,1
Chinatown,West Village,414
NV,Morningside Heights,169
South Jamaica,Lincoln Square East,15
Upper West Side South,Ocean Parkway South,1
DUMBO/Vinegar Hill,TriBeCa/Civic Center,172
Sunset Park West,Gowanus,29
Greenwich Village South,Long Island City/Queens Plaza,62
Crown Heights North,Crown Heights South,60
Sunnyside,Brownsville,4
Stuyvesant Heights,East Williamsburg,33
Crown Heights South,East Flatbush/Farragut,9
Greenpoint,Prospect Park,4
Chinatown,Gowanus,22
Central Harlem,Bath Beach,1
Lenox Hill East,West Concourse,59
Ridgewood,Astoria,4
Alphabet City,Boerum Hill,87
Sunnyside,Flushing,33
Williamsburg (South Side),Old Astoria,11
Clinton Hill,East New York/Pennsylvania Avenue,8
Union Sq,Ocean Parkway South,29
Jamaica,Jamaica Estates,7
Windsor Terrace,Sunset Park East,6
Hudson Sq,Soundview/Bruckner,8
Ridgewood,Flushing,3
Midtown South,Saint Albans,9
East Chelsea,Ocean Parkway South,5
Kips Bay,Longwood,13
Bloomingdale,Longwood,4
JFK Airport,City Island,21
Chinatown,East Flatbush/Remsen Village,8
Lenox Hill East,Baisley Park,10
World Trade Center,Ridgewood,11
Midtown Center,Hillcrest/Pomonok,32
Two Bridges/Seward Park,Mount Hope,2
Bushwick South,Norwood,1
West Chelsea/Hudson Yards,Hunts Point,5
Yorkville West,Homecrest,5
East Harlem North,Allerton/Pelham Gardens,7
Central Park,Flushing,9
Bay Ridge,Kensington,3
Briarwood/Jamaica Hills,Yorkville West,8
Roosevelt Island,Flatiron,2
Two Bridges/Seward Park,Bedford Park,5
Randalls Island,Upper West Side South,21
Bay Ridge,Bushwick South,1
Long Island City/Queens Plaza,Glen Oaks,1
Midtown East,Howard Beach,18
Morningside Heights,Baisley Park,1
Crown Heights North,East Flatbush/Remsen Village,31
Ocean Hill,Kew Gardens,1
NV,Borough Park,13
Lincoln Square East,Stuyvesant Heights,47
West Concourse,East Village,3
Fresh Meadows,Forest Hills,3
Gowanus,Greenwich Village North,3
LaGuardia Airport,Breezy Point/Fort Tilden/Riis Beach,3
Upper East Side North,South Ozone Park,26
LaGuardia Airport,City Island,24
UN/Turtle Bay South,Flatlands,8
DUMBO/Vinegar Hill,Baisley Park,1
South Williamsburg,Two Bridges/Seward Park,6
Williamsburg (South Side),Bath Beach,1
South Jamaica,University Heights/Morris Heights,1
Midtown Center,Westerleigh,6
West Chelsea/Hudson Yards,Gravesend,5
Jamaica,Greenwich Village South,3
Financial District North,Bronxdale,4
Battery Park City,Brownsville,1
Crotona Park East,LaGuardia Airport,1
Flushing Meadows-Corona Park,Newark Airport,4
Melrose South,Woodhaven,1
Saint Albans,Bushwick North,1
DUMBO/Vinegar Hill,Forest Hills,2
Long Island City/Hunters Point,Brighton Beach,1
West Village,Pelham Bay Park,4
Randalls Island,Flushing Meadows-Corona Park,1
Midtown Center,Rossville/Woodrow,4
Stuyvesant Heights,Dyker Heights,1
Gramercy,College Point,4
University Heights/Morris Heights,Soundview/Castle Hill,1
Woodside,Van Cortlandt Village,1
Elmhurst,Dyker Heights,2
West Chelsea/Hudson Yards,Forest Park/Highland Park,1
Ocean Parkway South,Battery Park City,1
World Trade Center,Douglaston,1
Prospect-Lefferts Gardens,Midtown South,2
West Concourse,Alphabet City,1
Greenwich Village North,Arrochar/Fort Wadsworth,3
Cypress Hills,Richmond Hill,1
Penn Station/Madison Sq West,Oakwood,2
Chinatown,Richmond Hill,2
Prospect Park,Flatiron,1
LaGuardia Airport,Jamaica Bay,1
Long Island City/Hunters Point,Kingsbridge Heights,1
East New York,Starrett City,1
Spuyten Duyvil/Kingsbridge,Morningside Heights,1
Central Park,Jamaica,1
Penn Station/Madison Sq West,Lenox Hill East,4651
Lenox Hill West,Lenox Hill East,11350
Murray Hill,East Village,10219
West Chelsea/Hudson Yards,East Chelsea,7840
Penn Station/Madison Sq West,Flatiron,7437
Union Sq,Midtown Center,12894
Central Harlem,Lenox Hill West,218
Boerum Hill,Bay Ridge,63
Morningside Heights,Lincoln Square West,958
Midtown South,Central Park,1817
West Chelsea/Hudson Yards,JFK Airport,549
Manhattan Valley,Central Harlem,3541
Midtown East,Little Italy/NoLiTa,2096
Gramercy,Park Slope,678
Bedford,Williamsburg (North Side),80
Penn Station/Madison Sq West,Upper West Side South,3255
Central Park,Hunts Point,11
NV,Upper East Side South,752
Garment District,Woodside,175
Long Island City/Queens Plaza,Lower East Side,26
Cobble Hill,East Village,72
Meatpacking/West Village West,East Village,4088
Stuy Town/Peter Cooper Village,Alphabet City,532
Battery Park City,Boerum Hill,195
Astoria,Garment District,64
Brooklyn Heights,Boerum Hill,379
Washington Heights North,Midtown South,5
East Chelsea,Yorkville West,1290
Murray Hill,Long Island City/Hunters Point,866
Midtown South,Coney Island,16
World Trade Center,East Harlem South,112
Sunnyside,Morningside Heights,33
DUMBO/Vinegar Hill,Brooklyn Heights,179
Lenox Hill East,Bensonhurst East,6
Lincoln Square East,Cobble Hill,72
Upper East Side South,Riverdale/North Riverdale/Fieldston,63
Greenwich Village North,DUMBO/Vinegar Hill,318
Bedford,Stapleton,1
Briarwood/Jamaica Hills,West Village,7
Highbridge,Mount Hope,8
Greenwich Village North,Sunset Park West,138
Hudson Sq,NA,161
Gowanus,Cobble Hill,27
Brooklyn Heights,Midwood,6
Midtown South,Cobble Hill,139
Upper West Side North,Fresh Meadows,1
Canarsie,Flatbush/Ditmas Park,4
Gowanus,DUMBO/Vinegar Hill,5
Clinton Hill,Cobble Hill,21
West Concourse,East Harlem South,28
Washington Heights South,Jackson Heights,10
Midtown East,Mount Hope,31
Central Harlem,Spuyten Duyvil/Kingsbridge,22
Clinton East,Glendale,27
Crown Heights North,Washington Heights North,1
Boerum Hill,Downtown Brooklyn/MetroTech,298
Central Park,Bayside,2
Co-Op City,Williamsbridge/Olinville,5
Kips Bay,Parkchester,15
Jackson Heights,Flushing,46
Bushwick North,Union Sq,2
Penn Station/Madison Sq West,Flatlands,37
Midtown South,Woodlawn/Wakefield,20
East Village,Glen Oaks,5
Long Island City/Hunters Point,University Heights/Morris Heights,1
North Corona,Ridgewood,1
Elmhurst,Murray Hill-Queens,7
Flushing,JFK Airport,10
Williamsbridge/Olinville,Long Island City/Queens Plaza,1
Midtown East,Riverdale/North Riverdale/Fieldston,40
Two Bridges/Seward Park,Melrose South,7
Inwood Hill Park,East Williamsburg,1
Greenwich Village North,East Concourse/Concourse Village,22
Gowanus,Grymes Hill/Clifton,1
West Chelsea/Hudson Yards,Flatlands,8
West Village,Jamaica,7
Hunts Point,Kingsbridge Heights,2
East Chelsea,Bedford Park,30
Little Italy/NoLiTa,South Williamsburg,53
Prospect Park,LaGuardia Airport,2
Steinway,Murray Hill-Queens,4
Central Park,Bronx Park,3
Seaport,Old Astoria,10
Lincoln Square West,Co-Op City,8
Carroll Gardens,Kips Bay,28
South Williamsburg,Sunset Park West,4
Union Sq,Arden Heights,3
Long Island City/Queens Plaza,Bensonhurst East,1
Yorkville East,Coney Island,2
Hudson Sq,Melrose South,5
Hudson Sq,Kew Gardens Hills,4
Briarwood/Jamaica Hills,Lincoln Square West,3
Clinton West,Starrett City,4
Springfield Gardens South,Alphabet City,1
Chinatown,Woodhaven,2
Midtown South,Green-Wood Cemetery,3
Kips Bay,Bay Terrace/Fort Totten,2
Fort Greene,Bath Beach,2
Windsor Terrace,DUMBO/Vinegar Hill,3
Central Park,Randalls Island,3
Bensonhurst West,Bath Beach,2
Greenpoint,Kew Gardens,2
Brooklyn Heights,Canarsie,4
Manhattanville,Newark Airport,1
Springfield Gardens South,West Chelsea/Hudson Yards,2
South Ozone Park,Upper West Side North,1
Queensboro Hill,Elmhurst/Maspeth,1
East Concourse/Concourse Village,Woodlawn/Wakefield,2
Boerum Hill,Maspeth,5
Lenox Hill West,Coney Island,4
Chinatown,Corona,5
West Village,Jamaica Estates,8
World Trade Center,Co-Op City,1
Soundview/Castle Hill,Pelham Parkway,1
Highbridge,Midtown East,1
Woodside,Sunset Park East,2
Maspeth,Kew Gardens Hills,1
Manhattan Beach,World Trade Center,1
Greenpoint,Starrett City,1
Astoria,Woodlawn/Wakefield,1
Elmhurst/Maspeth,Upper West Side South,1
Springfield Gardens South,Woodside,1
Parkchester,Allerton/Pelham Gardens,1
Bay Ridge,Upper East Side South,1
Bay Ridge,Ocean Hill,1
East Flatbush/Remsen Village,Canarsie,9
UN/Turtle Bay South,LaGuardia Airport,2330
East New York,East New York,75
East Village,LaGuardia Airport,1088
Manhattan Valley,Upper West Side North,11739
Clinton West,Williamsburg (South Side),63
Flatiron,West Village,10497
Boerum Hill,Columbia Street,137
Upper West Side South,Murray Hill,2200
Murray Hill,Financial District South,1648
Upper West Side North,Kips Bay,489
Bushwick South,Homecrest,1
Greenwich Village North,Downtown Brooklyn/MetroTech,303
East Williamsburg,Greenwich Village South,26
Greenwich Village South,UN/Turtle Bay South,1307
Sunnyside,Midtown Center,370
Morrisania/Melrose,Melrose South,29
Central Park,Bloomingdale,706
Seaport,Battery Park City,519
Lenox Hill East,East Flushing,10
Chinatown,Crown Heights South,37
Queens Village,Rosedale,1
Prospect Heights,TriBeCa/Civic Center,15
Murray Hill,Parkchester,21
Lower East Side,Borough Park,37
Williamsburg (North Side),Clinton West,20
East Harlem South,Bronxdale,16
Garment District,Bay Terrace/Fort Totten,13
Brooklyn Heights,Fort Greene,268
Clinton East,Marine Park/Mill Basin,16
Williamsburg (North Side),Alphabet City,69
SoHo,Prospect Heights,137
Lower East Side,Long Island City/Queens Plaza,118
Prospect Park,Lower East Side,7
Yorkville East,Elmhurst/Maspeth,8
Mott Haven/Port Morris,Hamilton Heights,23
TriBeCa/Civic Center,Morrisania/Melrose,8
Yorkville East,Corona,11
Bushwick North,Prospect-Lefferts Gardens,14
Lower East Side,Sunset Park East,91
Clinton West,Douglaston,2
Alphabet City,Marble Hill,2
Midtown East,Manhattanville,120
Park Slope,Elmhurst/Maspeth,8
DUMBO/Vinegar Hill,Clinton West,15
Elmhurst,Briarwood/Jamaica Hills,9
Williamsburg (South Side),Midwood,3
Midtown South,Queensboro Hill,15
Upper East Side North,Kensington,13
East Williamsburg,Woodside,16
Sunset Park West,Greenwich Village South,1
Long Island City/Queens Plaza,Prospect-Lefferts Gardens,3
Boerum Hill,Richmond Hill,4
Crown Heights North,Newark Airport,4
Van Nest/Morris Park,Bronxdale,2
Bushwick South,Lenox Hill East,6
Hunts Point,East Tremont,3
East Concourse/Concourse Village,Soundview/Castle Hill,2
Upper West Side North,Windsor Terrace,14
Lenox Hill East,Van Nest/Morris Park,22
West Chelsea/Hudson Yards,Kew Gardens,7
NV,South Williamsburg,11
Steinway,South Ozone Park,7
Clinton West,South Ozone Park,11
Clinton West,Gravesend,4
Bloomingdale,Crown Heights North,6
Boerum Hill,Queensbridge/Ravenswood,1
Briarwood/Jamaica Hills,South Jamaica,4
Garment District,Carroll Gardens,63
Upper West Side North,Gravesend,2
Two Bridges/Seward Park,Corona,5
Springfield Gardens South,Upper West Side South,5
Financial District South,Hillcrest/Pomonok,6
Homecrest,Flatbush/Ditmas Park,2
Stuy Town/Peter Cooper Village,East New York,2
Queensbridge/Ravenswood,Bay Ridge,8
TriBeCa/Civic Center,Richmond Hill,19
Jackson Heights,Spuyten Duyvil/Kingsbridge,4
NA,Central Harlem North,2
Alphabet City,Longwood,4
East Harlem North,Glendale,5
Mott Haven/Port Morris,Fordham South,7
Chinatown,Green-Wood Cemetery,5
World Trade Center,Arrochar/Fort Wadsworth,9
Two Bridges/Seward Park,Whitestone,4
SoHo,Bath Beach,11
Norwood,Bronxdale,2
Prospect-Lefferts Gardens,Cobble Hill,1
Bushwick North,SoHo,2
Morrisania/Melrose,Park Slope,1
Lenox Hill East,Ozone Park,8
Meatpacking/West Village West,Marine Park/Mill Basin,5
Penn Station/Madison Sq West,Saint George/New Brighton,5
Gravesend,Bay Ridge,1
UN/Turtle Bay South,Arrochar/Fort Wadsworth,2
South Williamsburg,Bay Ridge,3
Queensbridge/Ravenswood,Flushing Meadows-Corona Park,1
South Williamsburg,Manhattan Valley,1
NA,East Harlem South,2
Kew Gardens Hills,East Flushing,2
Homecrest,Brighton Beach,3
Prospect-Lefferts Gardens,Midtown Center,1
Fresh Meadows,Glen Oaks,1
West Chelsea/Hudson Yards,Manhattan Beach,1
Prospect Park,Bay Ridge,3
Elmhurst,Parkchester,1
Prospect Park,East Flatbush/Remsen Village,2
Woodlawn/Wakefield,Williamsbridge/Olinville,2
East Williamsburg,Brownsville,2
Belmont,Central Harlem,1
Sunset Park West,LaGuardia Airport,2
